Time,Value
2019-11-04 15:44:49.917795,-0.9325
2019-11-04 15:44:49.939795,0.4939
2019-11-04 15:44:50.055807,-0.0191
2019-11-04 15:44:50.080808,0.0
2019-11-04 15:44:50.108814,0.34
2019-11-04 15:44:50.136810,-0.7717
2019-11-04 15:44:50.187813,0.0
2019-11-04 15:44:50.212816,0.0772
2019-11-04 15:44:50.236816,0.5267
2019-11-04 15:44:50.260822,0.4019
2019-11-04 15:44:50.286820,-0.3182
2019-11-04 15:44:50.312826,-0.7845
2019-11-04 15:44:50.338828,0.0
2019-11-04 15:44:50.367827,0.0
2019-11-04 15:44:50.396833,-0.5267
2019-11-04 15:44:50.427832,0.0258
2019-11-04 15:44:50.453832,0.0
2019-11-04 15:44:50.476835,0.0
2019-11-04 15:44:50.500838,0.0
2019-11-04 15:44:50.531841,-0.8176
2019-11-04 15:44:50.554841,0.4767
2019-11-04 15:44:50.576843,-0.4271
2019-11-04 15:44:50.602847,0.0
2019-11-04 15:44:50.629848,-0.2732
2019-11-04 15:44:50.655848,0.3612
2019-11-04 15:44:50.680850,-0.5531
2019-11-04 15:44:50.701852,-0.1779
2019-11-04 15:44:50.724856,0.0
2019-11-04 15:44:50.746855,-0.7955
2019-11-04 15:44:50.768857,0.0
2019-11-04 15:44:50.789858,0.7717
2019-11-04 15:44:50.812860,0.4404
2019-11-04 15:44:50.834865,0.7906
2019-11-04 15:44:50.862863,0.4767
2019-11-04 15:44:50.893873,-0.7152
2019-11-04 15:44:50.918867,-0.8658
2019-11-04 15:44:50.942874,0.0
2019-11-04 15:44:50.966874,-0.0516
2019-11-04 15:44:50.989874,-0.0516
2019-11-04 15:44:51.012876,0.7345
2019-11-04 15:44:51.034877,0.8264
2019-11-04 15:44:51.059882,-0.7003
2019-11-04 15:44:51.087880,0.1779
2019-11-04 15:44:51.113885,0.5499
2019-11-04 15:44:51.139884,0.0
2019-11-04 15:44:51.165886,0.3664
2019-11-04 15:44:51.188887,-0.7206
2019-11-04 15:44:51.210888,0.6369
2019-11-04 15:44:51.232891,0.3818
2019-11-04 15:44:51.258893,0.4738
2019-11-04 15:44:51.281894,0.4767
2019-11-04 15:44:51.306900,-0.1697
2019-11-04 15:44:51.333904,-0.5719
2019-11-04 15:44:51.359906,-0.4753
2019-11-04 15:44:51.382903,-0.4939
2019-11-04 15:44:51.406904,0.34
2019-11-04 15:44:51.434907,0.0762
2019-11-04 15:44:51.463911,-0.0191
2019-11-04 15:44:51.490914,0.4019
2019-11-04 15:44:51.514912,-0.8316
2019-11-04 15:44:51.544916,0.5106
2019-11-04 15:44:51.571918,-0.3818
2019-11-04 15:44:51.598918,-0.2846
2019-11-04 15:44:51.624920,0.0
2019-11-04 15:44:51.652922,-0.6124
2019-11-04 15:44:51.678924,-0.34
2019-11-04 15:44:51.705926,-0.5499
2019-11-04 15:44:51.731928,-0.5096
2019-11-04 15:44:51.760930,0.6037
2019-11-04 15:44:51.791933,0.0686
2019-11-04 15:44:51.820936,0.431
2019-11-04 15:44:51.842936,0.6705
2019-11-04 15:44:51.865938,0.0
2019-11-04 15:44:51.889940,0.765
2019-11-04 15:44:51.918944,-0.3612
2019-11-04 15:44:51.948948,0.0
2019-11-04 15:44:51.973951,0.34
2019-11-04 15:44:52.002948,-0.4404
2019-11-04 15:44:52.034954,0.0
2019-11-04 15:44:52.062954,0.0
2019-11-04 15:44:52.088954,0.0
2019-11-04 15:44:52.114956,0.4215
2019-11-04 15:44:52.137959,0.0
2019-11-04 15:44:52.167963,-0.807
2019-11-04 15:44:52.199967,0.0
2019-11-04 15:44:52.226965,0.2023
2019-11-04 15:44:52.253971,0.0
2019-11-04 15:44:52.280970,0.5719
2019-11-04 15:44:52.304973,0.0
2019-11-04 15:44:52.333977,0.5106
2019-11-04 15:44:52.358976,-0.8331
2019-11-04 15:44:52.383978,0.0
2019-11-04 15:44:52.415981,0.0
2019-11-04 15:44:52.444984,0.5499
2019-11-04 15:44:52.472990,-0.296
2019-11-04 15:44:52.499986,0.0
2019-11-04 15:44:52.523988,0.5499
2019-11-04 15:44:52.547990,0.0
2019-11-04 15:44:52.570991,-0.1531
2019-11-04 15:44:52.598993,0.0258
2019-11-04 15:44:52.623996,0.4939
2019-11-04 15:44:52.649996,0.0772
2019-11-04 15:44:52.675002,0.0
2019-11-04 15:44:52.702001,0.0
2019-11-04 15:44:52.728003,0.6757
2019-11-04 15:44:52.753006,0.0
2019-11-04 15:44:52.775007,-0.34
2019-11-04 15:44:52.797008,0.0258
2019-11-04 15:44:52.820011,0.4767
2019-11-04 15:44:52.842013,-0.7003
2019-11-04 15:44:52.864013,0.0
2019-11-04 15:44:52.886014,0.0
2019-11-04 15:44:52.910017,0.0
2019-11-04 15:44:52.935017,0.0
2019-11-04 15:44:52.957021,0.4404
2019-11-04 15:44:52.981021,0.1531
2019-11-04 15:44:53.008023,0.4767
2019-11-04 15:44:53.036026,0.4574
2019-11-04 15:44:53.059027,-0.7206
2019-11-04 15:44:53.083029,0.5106
2019-11-04 15:44:53.106037,0.7906
2019-11-04 15:44:53.131032,0.2342
2019-11-04 15:44:53.152033,0.4404
2019-11-04 15:44:53.174037,0.5499
2019-11-04 15:44:53.198038,-0.296
2019-11-04 15:44:53.221039,0.5255
2019-11-04 15:44:53.249041,0.6249
2019-11-04 15:44:53.277044,0.4404
2019-11-04 15:44:53.305046,-0.1027
2019-11-04 15:44:53.334053,-0.6808
2019-11-04 15:44:53.359049,-0.34
2019-11-04 15:44:53.385051,0.4019
2019-11-04 15:44:53.409054,-0.2263
2019-11-04 15:44:53.435056,-0.5106
2019-11-04 15:44:53.462058,-0.4588
2019-11-04 15:44:53.489060,-0.5719
2019-11-04 15:44:53.516061,-0.4939
2019-11-04 15:44:53.548064,-0.4767
2019-11-04 15:44:53.573066,-0.4767
2019-11-04 15:44:53.601067,0.0
2019-11-04 15:44:53.628070,0.0772
2019-11-04 15:44:53.655074,-0.3367
2019-11-04 15:44:53.679075,-0.5362
2019-11-04 15:44:53.702075,-0.4588
2019-11-04 15:44:53.729081,-0.8286
2019-11-04 15:44:53.758083,-0.5719
2019-11-04 15:44:53.785080,0.7579
2019-11-04 15:44:53.812084,-0.4926
2019-11-04 15:44:53.843087,0.0258
2019-11-04 15:44:53.867089,0.0
2019-11-04 15:44:53.890092,0.6887
2019-11-04 15:44:53.914093,0.6486
2019-11-04 15:44:53.941093,0.6114
2019-11-04 15:44:53.966098,0.6705
2019-11-04 15:44:53.989097,0.0
2019-11-04 15:44:54.011099,0.0
2019-11-04 15:44:54.035103,-0.6124
2019-11-04 15:44:54.067102,0.0
2019-11-04 15:44:54.094105,-0.4019
2019-11-04 15:44:54.119106,0.5719
2019-11-04 15:44:54.147110,-0.2244
2019-11-04 15:44:54.176110,-0.7783
2019-11-04 15:44:54.202112,-0.7003
2019-11-04 15:44:54.227117,-0.1027
2019-11-04 15:44:54.250116,-0.7206
2019-11-04 15:44:54.273122,-0.4767
2019-11-04 15:44:54.298119,0.25
2019-11-04 15:44:54.324129,0.34
2019-11-04 15:44:54.349123,0.0772
2019-11-04 15:44:54.374127,0.5719
2019-11-04 15:44:54.402127,0.4215
2019-11-04 15:44:54.431132,-0.5639
2019-11-04 15:44:54.457132,0.0
2019-11-04 15:44:54.484133,0.0
2019-11-04 15:44:54.506135,-0.5106
2019-11-04 15:44:54.534143,-0.7351
2019-11-04 15:44:54.560141,-0.4019
2019-11-04 15:44:54.584145,0.632
2019-11-04 15:44:54.609145,0.5267
2019-11-04 15:44:54.634145,-0.5267
2019-11-04 15:44:54.658146,0.0
2019-11-04 15:44:54.681148,0.3724
2019-11-04 15:44:54.704150,0.0
2019-11-04 15:44:54.734152,0.4767
2019-11-04 15:44:54.764156,-0.7206
2019-11-04 15:44:54.789159,0.4215
2019-11-04 15:44:54.814159,0.0
2019-11-04 15:44:54.837161,0.3182
2019-11-04 15:44:54.865162,-0.5106
2019-11-04 15:44:54.888163,-0.296
2019-11-04 15:44:54.910165,-0.5574
2019-11-04 15:44:54.920201,-0.7081
2019-11-04 15:44:54.951459,-0.2249
2019-11-04 15:44:54.967087,0.0
2019-11-04 15:44:54.998347,-0.6908
2019-11-04 15:44:55.013977,0.34
2019-11-04 15:44:55.029607,-0.4939
2019-11-04 15:44:55.060865,-0.0772
2019-11-04 15:44:55.076495,0.0
2019-11-04 15:44:55.113725,0.0
2019-11-04 15:44:55.138728,-0.7003
2019-11-04 15:44:55.160731,-0.0772
2019-11-04 15:44:55.181732,0.0
2019-11-04 15:44:55.204734,0.34
2019-11-04 15:44:55.229736,0.7227
2019-11-04 15:44:55.251736,0.0
2019-11-04 15:44:55.277738,-0.1531
2019-11-04 15:44:55.301740,0.4215
2019-11-04 15:44:55.329743,0.0
2019-11-04 15:44:55.353746,-0.91
2019-11-04 15:44:55.375750,0.0
2019-11-04 15:44:55.401747,-0.6124
2019-11-04 15:44:55.428753,0.5499
2019-11-04 15:44:55.453754,0.5106
2019-11-04 15:44:55.478754,0.7906
2019-11-04 15:44:55.503760,0.0
2019-11-04 15:44:55.528759,-0.4019
2019-11-04 15:44:55.553764,-0.3818
2019-11-04 15:44:55.576765,0.3612
2019-11-04 15:44:55.600763,0.0
2019-11-04 15:44:55.623765,0.6369
2019-11-04 15:44:55.646766,-0.3164
2019-11-04 15:44:55.668768,0.8676
2019-11-04 15:44:55.693772,0.4019
2019-11-04 15:44:55.716773,0.6887
2019-11-04 15:44:55.743776,0.0
2019-11-04 15:44:55.766775,0.4767
