Time,Sentiment
2019-11-21 11:15:28.531333,Positive
2019-11-21 11:15:29.613982,Negative
2019-11-21 11:15:30.669744,Positive
2019-11-21 11:15:31.774680,Negative
2019-11-21 11:15:32.837246,Positive
2019-11-21 11:15:33.910152,Neutral
2019-11-21 11:15:34.974288,Positive
2019-11-21 11:15:36.050982,Negative
2019-11-21 11:15:37.119021,Neutral
2019-11-21 11:15:38.156461,Negative
2019-11-21 11:15:39.235499,Negative
2019-11-21 11:15:40.312604,Negative
2019-11-21 11:15:41.388384,Negative
2019-11-21 11:15:42.453990,Negative
2019-11-21 11:15:43.524296,Negative
2019-11-21 11:15:44.603401,Positive
2019-11-21 11:15:45.670562,Neutral
2019-11-21 11:15:46.713091,Negative
2019-11-21 11:15:47.775927,Negative
2019-11-21 11:15:48.829934,Negative
2019-11-21 11:15:49.900347,Neutral
2019-11-21 11:15:50.979011,Neutral
2019-11-21 11:15:52.054245,Negative
2019-11-21 11:15:53.122399,Positive
2019-11-21 11:15:54.197245,Neutral
2019-11-21 11:15:55.278903,Positive
2019-11-21 11:15:56.363162,Neutral
2019-11-21 11:15:57.427888,Neutral
2019-11-21 11:15:58.504685,Negative
2019-11-21 11:15:59.563080,Positive
2019-11-21 11:16:00.624403,Positive
2019-11-21 11:16:01.674904,Negative
2019-11-21 11:16:02.726317,Negative
2019-11-21 11:16:03.818159,Negative
2019-11-21 11:16:04.880274,Positive
2019-11-21 11:16:05.957974,Neutral
2019-11-21 11:16:07.026006,Negative
2019-11-21 11:16:08.077887,Neutral
2019-11-21 11:16:09.151429,Neutral
2019-11-21 11:16:10.233359,Neutral
2019-11-21 11:16:11.350701,Neutral
2019-11-21 11:16:12.429796,Positive
2019-11-21 11:16:13.512458,Positive
2019-11-21 11:16:14.582437,Negative
2019-11-21 11:16:15.664650,Positive
2019-11-21 11:16:16.746064,Positive
2019-11-21 11:16:17.812297,Positive
2019-11-21 11:16:18.867473,Positive
2019-11-21 11:16:19.930947,Positive
2019-11-21 11:16:20.996445,Positive
2019-11-21 11:16:22.071781,Neutral
2019-11-21 11:16:23.137962,Neutral
2019-11-21 11:16:24.200272,Positive
2019-11-21 11:16:25.250073,Negative
2019-11-21 11:16:26.339326,Negative
2019-11-21 11:16:27.417363,Neutral
2019-11-21 11:16:28.492961,Negative
2019-11-21 11:16:29.570762,Positive
2019-11-21 11:16:30.656037,Negative
2019-11-21 11:16:31.724018,Negative
2019-11-21 11:16:32.804488,Neutral
2019-11-21 11:16:33.869104,Negative
2019-11-21 11:16:34.942726,Neutral
2019-11-21 11:16:35.998195,Negative
2019-11-21 11:16:37.052021,Negative
2019-11-21 11:16:38.112148,Positive
2019-11-21 11:16:39.168181,Positive
2019-11-21 11:16:40.236856,Neutral
2019-11-21 11:16:41.305100,Negative
2019-11-21 11:16:42.387186,Neutral
2019-11-21 11:16:43.471603,Neutral
2019-11-21 11:16:44.541280,Neutral
2019-11-21 11:16:45.622989,Neutral
2019-11-21 11:16:46.673984,Neutral
2019-11-21 11:16:47.770791,Neutral
2019-11-21 11:16:48.860772,Negative
2019-11-21 11:16:49.910027,Negative
2019-11-21 11:16:50.990078,Neutral
2019-11-21 11:16:52.061970,Positive
2019-11-21 11:16:53.121859,Positive
2019-11-21 11:16:54.191429,Neutral
2019-11-21 11:16:55.248306,Positive
2019-11-21 11:16:56.307379,Positive
2019-11-21 11:16:57.376988,Negative
2019-11-21 11:16:58.440225,Neutral
2019-11-21 11:16:59.505329,Neutral
2019-11-21 11:17:00.576673,Negative
2019-11-21 11:17:01.648415,Neutral
2019-11-21 11:17:02.732353,Negative
2019-11-21 11:17:03.794574,Neutral
2019-11-21 11:17:04.867084,Positive
2019-11-21 11:17:05.915267,Positive
2019-11-21 11:17:07.026472,Positive
2019-11-21 11:17:08.080778,Negative
2019-11-21 11:17:09.145733,Neutral
2019-11-21 11:17:10.224009,Negative
2019-11-21 11:17:11.276441,Positive
2019-11-21 11:17:12.351511,Negative
2019-11-21 11:17:13.417794,Negative
2019-11-21 11:17:14.481356,Negative
2019-11-21 11:17:15.544675,Neutral
2019-11-21 11:17:16.582670,Neutral
2019-11-21 11:17:17.643294,Positive
2019-11-21 11:17:18.674747,Negative
2019-11-21 11:17:19.739701,Neutral
2019-11-21 11:17:20.812508,Neutral
2019-11-21 11:17:21.898646,Positive
2019-11-21 11:17:22.954562,Negative
2019-11-21 11:17:24.042026,Neutral
2019-11-21 11:17:25.113986,Negative
2019-11-21 11:17:26.190095,Positive
2019-11-21 11:17:27.271983,Negative
2019-11-21 11:17:28.358994,Positive
2019-11-21 11:17:29.442153,Negative
2019-11-21 11:17:30.515768,Negative
2019-11-21 11:17:31.583100,Positive
2019-11-21 11:17:32.661332,Negative
2019-11-21 11:17:33.742454,Neutral
2019-11-21 11:17:34.816956,Neutral
